CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,ON02_01,ON02_02,ON02_03,ON04,ON19_01,ON19_02,ON21,ON22,ON22_02,ON23,ON23_02,ON25,ON26,ON26_02,ON27_01,ON27_02,ON28_01,ON28_02,ON15_01,ON15_02,ON15_03,ON15_04,ON15_05,ON15,ON16,ON31,ON17,ON17s,ON08_03,ON08_04,ON08_05,ON08_05a,ON08_06,ON08_06a,ON09,ON29,ON30,ON10,ON18,ON13,ON13_08,ON14,ON14_08,ON12,K201_01,K201_02,K201_03,K202_01,K202_02,K203,K206,K207,K207_02,K208,K208_02,K209,K210,K210_02,K211_01,K211_02,K212_01,K212_02,K204_01,K204_02,K204_03,K204_04,K204_05,K204,K205,K213,CQ13,CQ02_01,CQ02_02,CQ01_01,CQ01_02,CQ01_03,CQ01_04,CQ01_05,CQ01_06,CQ01_07,CQ01_08,CQ01_09,CQ03_01,CQ04_01,CQ05_01,CQ10_01,CQ10_02,CQ11,W210_01,W210_02,W202_01,W202_02,W201_01,W201_02,W201_03,W201_04,W201_05,W201_06,W201_07,W201_08,W201_09,W203_01,W204_01,W205_01,W213,GR03_01,GR03_02,ON35_01,W310_01,W310_02,W302_01,W302_02,W301_01,W301_02,W301_03,W301_04,W301_05,W301_06,W301_07,W301_08,W301_09,W303_01,W304_01,W305_01,W313,
1382,TKA99XBQW7,,Z,interview,03.03.23 09:48,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,TKA99XBQW7,,,,,,,,,,,,,,,,,,,
1383,SKXUT5APM6,,Z,interview,03.03.23 09:49,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,SKXUT5APM6,,,,,,,,,,,,,,,,,,,
1384,6E7D3DC8DN,,Z,interview,03.03.23 09:50,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,6E7D3DC8DN,,,,,,,,,,,,,,,,,,,
1385,M3HNN9Y7BD,,Z,interview,03.03.23 09:50,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,M3HNN9Y7BD,,,,,,,,,,,,,,,,,,,
1386,A3ER5WF9RA,,Z,interview,03.03.23 09:51,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,A3ER5WF9RA,,,,,,,,,,,,,,,,,,,
1387,GMQL4CNNR8,,Z,interview,03.03.23 09:52,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,GMQL4CNNR8,,,,,,,,,,,,,,,,,,,
1388,UDSNMPZQM9,,Z,interview,03.03.23 09:53,1,0,1,1,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,UDSNMPZQM9,,,,,,,,,,,,,,,,,,,
1389,7RLSZB6EC2,,Z,interview,03.03.23 10:10,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,7RLSZB6EC2,,,,,,,,,,,,,,,,,,,
1390,MPHWBPTKDP,,Z,interview,03.03.23 10:10,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,MPHWBPTKDP,,,,,,,,,,,,,,,,,,,
1391,GMKW8NALDC,,Z,interview,03.03.23 10:11,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,GMKW8NALDC,,,,,,,,,,,,,,,,,,,
1392,QSDPPCCPRM,,Z,interview,03.03.23 10:12,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,QSDPPCCPRM,,,,,,,,,,,,,,,,,,,
1393,URMQFN6NAT,,Z,interview,03.03.23 10:13,1,0,1,1,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,URMQFN6NAT,,,,,,,,,,,,,,,,,,,
1394,86KRD4SMWZ,,Z,interview,03.03.23 10:14,1,0,1,1,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,86KRD4SMWZ,,,,,,,,,,,,,,,,,,,
1395,SZPRD8CZ4C,,Z,interview,03.03.23 10:16,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,SZPRD8CZ4C,,,,,,,,,,,,,,,,,,,
1396,B1BM11VZ2Y,,Z,interview,03.03.23 10:17,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,B1BM11VZ2Y,,,,,,,,,,,,,,,,,,,
1397,8G1WL6AKT4,,Z,interview,03.03.23 10:19,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,8G1WL6AKT4,,,,,,,,,,,,,,,,,,,
1398,DKV3WVV2Z9,,Z,interview,03.03.23 10:19,1,0,1,1,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,DKV3WVV2Z9,,,,,,,,,,,,,,,,,,,
1399,GM7TAMM5UT,,Z,interview,03.03.23 10:21,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,GM7TAMM5UT,,,,,,,,,,,,,,,,,,,
1400,KYQYPSUA2B,,Z,interview,03.03.23 10:22,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,KYQYPSUA2B,,,,,,,,,,,,,,,,,,,
1401,M6TULWKSK6,,Z,interview,03.03.23 10:31,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,M6TULWKSK6,,,,,,,,,,,,,,,,,,,
1402,MKV2PYN5YL,,Z,interview,03.03.23 10:32,1,0,1,1,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,MKV2PYN5YL,,,,,,,,,,,,,,,,,,,
1403,QFE54ZVSHT,,Z,interview,03.03.23 10:33,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,QFE54ZVSHT,,,,,,,,,,,,,,,,,,,
1404,29CKTUVY2B,,Z,interview,03.03.23 10:33,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,29CKTUVY2B,,,,,,,,,,,,,,,,,,,
1405,HLE5TYT1U9,,Z,interview,03.03.23 10:33,1,0,1,1,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,HLE5TYT1U9,,,,,,,,,,,,,,,,,,,
1406,QWTSG1VNF6,,Z,interview,03.03.23 10:34,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,QWTSG1VNF6,,,,,,,,,,,,,,,,,,,
1407,9T35TEMSAS,,Z,interview,03.03.23 10:35,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,9T35TEMSAS,,,,,,,,,,,,,,,,,,,
1408,ZVBU9M31CS,,Z,interview,03.03.23 10:35,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,ZVBU9M31CS,,,,,,,,,,,,,,,,,,,
1409,UUX8E1LZUH,,Z,interview,03.03.23 10:36,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,UUX8E1LZUH,,,,,,,,,,,,,,,,,,,
1410,1KGW5NWVQW,,Z,interview,03.03.23 10:37,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,1KGW5NWVQW,,,,,,,,,,,,,,,,,,,
1411,X48F9ZNF4L,,Z,interview,03.03.23 10:37,1,0,1,1,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,X48F9ZNF4L,,,,,,,,,,,,,,,,,,,
1412,SRAAYTX4R3,,Z,interview,03.03.23 10:38,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,SRAAYTX4R3,,,,,,,,,,,,,,,,,,,
1413,6XRFY17ZX1,,Z,interview,03.03.23 10:39,1,0,1,1,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,6XRFY17ZX1,,,,,,,,,,,,,,,,,,,
1715,X48F9ZNF4L,,V0-2,interview,08.01.24 11:57,1,0,9,9,0,0,0.44,15.09.18,2,1,1,16,110,1,2,Bronchitis,1,,4,2,"Training im Kinderzirkus, Schwimmunterricht",21:00,08:00,21:00,09:00,2,1,1,1,2,2,2,1,8,,1,1,,2,,2,4,1,2,4,2,4,,8,künstlerisch tätiger Fotograf – aber auch arbeitssuchend,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,X48F9ZNF4L,Deutsch,,,,,,,,,,,,,,,,,,
1716,ZVBU9M31CS,,V0-2,interview,08.01.24 12:28,1,0,9,9,0,0,0.54,24.07.18,1,3,1,19,106,1,1,,1,,2,2,Fussballverein,19:30,06:30,22:00,09:00,2,1,1,1,1,1,2,1,53,,2,3,14,1,5,1,1,1,2,3,1,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,ZVBU9M31CS,Türkisch,,,,,,,,,,,,,,,,,,
1722,UUX8E1LZUH,,V0-2,interview,08.01.24 22:33,1,0,9,9,0,0,1.35,06.09.19,1,2,2,18,110,1,2,Covid 19,1,,3,1,,20:00,08:00,21:00,08:30,2,1,1,1,1,1,1,1,55,,2,2,9,1,4,1,1,1,2,4,4,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,UUX8E1LZUH,Deutsch,,,,,,,,,,,,,,,,,,
1723,QWTSG1VNF6,,V0-2,interview,09.01.24 09:10,1,0,9,9,0,0,1.54,23.01.21,1,1,2,15,97,1,1,,1,,2,2,Eltern-Kind-Turnen,21:00,08:00,21:00,09:00,2,1,1,1,2,2,2,1,53,,2,1,,2,,2,2,1,1,4,4,4,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,QWTSG1VNF6,Deutsch,,,,,,,,,,,,,,,,,,
1724,MKV2PYN5YL,,V0-2,interview,09.01.24 10:36,1,0,9,9,0,0,0.45,12.10.20,2,2,1,15,98,1,1,,1,,3,1,,20:00,06:40,21:00,08:30,2,1,1,1,1,1,3,1,6,,1,2,8,1,3,1,1,1,2,4,3,7,,-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,MKV2PYN5YL,Ukrainisch,,,,,,,,,,,,,,,,,,
1728,M6TULWKSK6,,V0-2,interview,10.01.24 14:55,1,0,9,9,0,0,1.51,24.03.18,1,1,2,21,125,1,1,,1,,2,2,Zirkus,19:00,06:30,20:00,07:00,2,1,1,1,2,2,2,1,56,,1,1,,2,,2,3,1,-1,3,-1,4,,-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,M6TULWKSK6,Deutsch,,,,,,,,,,,,,,,,,,
1729,M3HNN9Y7BD,,V0-2,interview,10.01.24 15:30,1,0,9,9,0,0,1.99,21.12.18,1,2,1,18,107,1,1,,1,,2,2,Fußballverein 1xpro Woche,20:00,07:30,21:00,08:30,2,1,1,1,1,1,2,1,53,,2,3,14,1,0,1,1,1,2,4,4,4,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,M3HNN9Y7BD,Deutsch,,,,,,,,,,,,,,,,,,
1730,6XRFY17ZX1,,V0-2,interview,10.01.24 15:38,1,0,9,9,0,0,1.67,26.12.17,1,1,2,20,118,1,1,,1,,3,2,"Kindertanz, Zirkus",20:00,07:30,20:30,07:45,2,1,1,1,1,1,2,2,53,,2,2,6,1,4,1,2,1,2,4,4,4,,4,,11,29.04.19,1,2,18,108,1,1,1,,1,,3,2,Kindertanz,20:00,07:30,20:30,07:45,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,6XRFY17ZX1,Deutsch,,,,,,,,,,,,,,,,,,
1731,9T35TEMSAS,,V0-2,interview,10.01.24 17:08,1,0,9,9,0,0,0.33,04.08.17,1,2,1,17,105,1,2,"Bronchitis als Kleinkind, jetzt nicht mehr",1,,2,1,,08:00,07:00,08:00,08:00,2,1,1,1,1,1,2,2,55,,2,3,9,1,3,1,1,2,1,4,4,4,,4,,10,18.09.20,1,3,14,96,2,1,1,,1,,3,1,,21:00,08:00,21:00,08:00,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,9T35TEMSAS,"Spanisch, deutsch",,,,,,,,,,,,,,,,,,
1732,QFE54ZVSHT,,V0-2,interview,10.01.24 18:38,1,0,9,9,0,0,1.13,18.01.19,1,2,2,18,113,1,1,,1,,3,2,Tanzen und Fußball,20:00,07:00,21:00,08:00,2,1,1,1,1,1,2,1,55,,2,2,8,1,2,1,1,1,2,4,4,4,,6,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,QFE54ZVSHT,Deutsch,,,,,,,,,,,,,,,,,,
1735,A3ER5WF9RA,,V0-2,interview,14.01.24 21:29,1,0,9,9,0,0,1.33,01.05.18,1,2,1,20,117,1,1,,2,"Bronchitis/Astma, Neurodermitis, Hausstauballergie, Milbenallergie, Milchallergie",2,2,Fußball,20:30,07:00,21:30,08:00,2,2,1,1,2,3,3,1,53,,2,2,7,1,5,1,1,1,2,3,2,4,,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,A3ER5WF9RA,"deutsch, somali, arabisch",,,,,,,,,,,,,,,,,,
1736,EN4YQGCW2A,,V0-2,interview,14.01.24 23:06,1,0,9,9,0,0,1.00,10.01.19,1,1,1,18,115,1,1,,1,,4,2,Verein,21:00,08:00,21:00,08:00,2,1,1,2,1,2,1,1,55,,2,1,,2,,2,2,1,2,4,4,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,EN4YQGCW2A,Deutsch,,,,,,,,,,,,,,,,,,
1751,DKV3WVV2Z9,,V0-2,interview,15.01.24 14:43,1,0,9,9,0,0,1.05,04.05.18,3,2,1,19,110,1,1,,1,,4,1,,22:00,09:00,22:00,09:00,2,1,1,1,1,1,1,2,56,,2,3,8,1,3,1,1,1,2,4,1,6,,6,,11,09.08.20,3,3,15,97,2,1,1,,1,,4,1,,21:00,07:30,21:00,07:30,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,DKV3WVV2Z9,Deutsch und Spanisch,,,,,,,,,,,,,,,,,,
1756,GM7TAMM5UT,,V0-2,interview,16.01.24 11:47,0,0,0,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,GM7TAMM5UT,,,,,,,,,,,,,,,,,,,
1757,8G1WL6AKT4,,V0-2,interview,16.01.24 11:47,0,0,0,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,8G1WL6AKT4,,,,,,,,,,,,,,,,,,,
1758,86KRD4SMWZ,,V0-2,interview,16.01.24 11:47,1,0,9,9,0,0,1.30,22.06.19,1,2,2,18,110,1,1,,1,,2,1,,20:30,08:00,21:30,09:00,2,1,1,1,2,2,2,1,56,,2,2,9,1,,2,2,2,1,4,4,6,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,86KRD4SMWZ,deutsch,,,,,,,,,,,,,,,,,,
1759,MPHWBPTKDP,,V0-2,interview,16.01.24 11:47,1,0,9,9,0,0,0.93,10.08.18,1,1,1,20,116,3,1,,2,Neurodermitis,3,2,"Bis Jahresende schwimmen, davor turnen, derzeit pause",19:30,07:00,19:30,07:00,2,1,1,2,1,2,2,1,55,,2,2,5,1,1,1,1,1,2,4,4,5,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB1,MPHWBPTKDP,"Deutsch, Portugiesisch",,,,,,,,,,,,,,,,,,
